Time_datenum,Time_UTC,Boat_Latitude,Boat_Longitude,Boat_pos_x_m,Boat_pos_y_m,Sensor1_pos_x_m,Sensor1_pos_y_m,Sensor1_pos_z_m,Sensor2_pos_x_m,Sensor2_pos_y_m,Sensor2_pos_z_m
736950.707597917,12-Sep-2017 16:58:56.460,20.4602672941239,-156.949334270504,154.441035715119,-31.7745790190944,-173.238810685005,39.8668521725756,8.83719720871119,-198.238295716844,45.3325495793934,12.3157841133535
736950.707603704,12-Sep-2017 16:58:56.960,20.4602621120123,-156.949309122021,157.065022708143,-32.348267151973,-170.614835170266,39.2931115392931,8.98402218343361,-195.61432107781,44.7588049407286,12.1270091458532
736950.707609491,12-Sep-2017 16:58:57.460,20.4602569299007,-156.949283973538,159.68900987935,-32.9219548824764,-167.990859498818,38.7193712101264,9.10148490586848,-192.990346283707,44.1850605986831,11.9596686225229
736950.707615278,12-Sep-2017 16:58:57.960,20.4602517477891,-156.949258825055,162.31299722693,-33.4956422098246,-165.366883661007,38.145631238288,8.98612242572944,-190.366371324004,43.6113166104698,11.9622904970715
736950.707621065,12-Sep-2017 16:58:58.460,20.4602465655733,-156.949233676067,164.937037539964,-34.0693406745118,-162.742854880495,37.5718800250019,8.88459972289344,-187.742343423336,43.037561372866,11.9677932809257
736950.707626852,12-Sep-2017 16:58:58.960,20.4602413834616,-156.949208527584,167.561025239625,-34.6430271965329,-160.118878638405,36.9981410971603,8.8950767987556,-185.118368055371,42.463818446858,11.9966052395467
736950.707632639,12-Sep-2017 16:58:59.460,20.46023620135,-156.949183379101,170.185013115285,-35.2167133154035,-157.494902270229,36.4244023441313,8.89971422261814,-182.494392565128,41.8900756782422,12.0354379534601
736950.707638426,12-Sep-2017 16:58:59.960,20.4602310192384,-156.949158230618,172.809001167172,-35.7903990306197,-154.870925740251,35.8506639287328,8.85509752339939,-179.870416914185,41.3163332422198,12.1587900042414
736950.707644213,12-Sep-2017 16:59:00.460,20.4602258370226,-156.94913308163,175.433042180847,-36.3640958836451,-152.246896224995,35.2769144829265,8.81771407155438,-177.246388276172,40.7425797839836,12.2484780288515
736950.70765,12-Sep-2017 16:59:00.960,20.460220654911,-156.949107933147,178.057030584864,-36.9377807934809,-149.622919314242,34.703177003849,8.84133443944148,-174.622412242267,40.1688382942719,12.0542661151131
736950.707655787,12-Sep-2017 16:59:01.460,20.4602155873452,-156.949082845194,180.674703402114,-37.4987839862757,-147.297900547987,32.7902440208753,8.86745346167463,-172.319720758717,38.1527633301085,11.9226033017566
736950.707661574,12-Sep-2017 16:59:01.960,20.4602106126435,-156.949057805862,183.28730314207,-38.0495058416757,-144.920105763743,31.1348358790683,8.91464815293094,-169.959839810311,36.4130760097517,12.3185143228512
736950.707667361,12-Sep-2017 16:59:02.460,20.4602056380419,-156.949032767034,185.899850494541,-38.6002162196823,-142.307569425342,30.5840732507872,8.96402336194201,-167.3473043122,35.8623093951713,12.647064581868
736950.707673148,12-Sep-2017 16:59:02.960,20.4602006634403,-156.949007728205,188.512398015934,-39.150926198745,-139.695032921968,30.033311002673,9.03219210020599,-164.734768649417,35.3115431593252,12.395364625201
736950.707678935,12-Sep-2017 16:59:03.460,20.4601956888387,-156.948982689377,191.124945708239,-39.7016357778753,-137.082496283373,29.4825489851388,9.07581189561878,-162.122232854136,34.7607771411389,12.180800198451
736950.707684722,12-Sep-2017 16:59:03.960,20.460190714137,-156.948957650045,193.737546121083,-40.2523560363366,-134.469906870423,28.93177654353,8.90328131525548,-159.509644280394,34.210000718352,12.2932064856574
736950.707690509,12-Sep-2017 16:59:04.460,20.4601857395354,-156.948932611217,196.350094149881,-40.803064817109,-131.857369882418,28.3810153855471,8.75489136217553,-156.897108134718,33.6592355643855,12.3848981033454
736950.707696296,12-Sep-2017 16:59:04.960,20.4601807649338,-156.948907572389,198.962642343788,-41.35377319792,-129.244832711917,27.8302547099628,8.83912822747788,-154.284571805219,33.1084708991069,12.2769696196768
736950.707702083,12-Sep-2017 16:59:05.460,20.4601757903322,-156.948882533561,201.575190706521,-41.9044811795641,-126.632295372292,27.2794944349196,8.91546578115972,-151.672035306574,32.5577066344743,12.168559923816
736950.70770787,12-Sep-2017 16:59:05.960,20.4601708156305,-156.948857494229,204.187791791977,-42.4551998399967,-124.019705311238,26.7287234749118,8.92070963574376,-149.059446086598,32.0069316844059,12.0558170502592
736950.707713657,12-Sep-2017 16:59:06.460,20.4601658410289,-156.948832455401,206.800340490828,-43.0059070229583,-121.407167634832,26.1779640016175,8.91903454970293,-146.446909251121,31.4561682217561,11.9505392306461
736950.707719444,12-Sep-2017 16:59:06.960,20.4601608664273,-156.948807416573,209.41288935795,-43.5566138058907,-118.794629809695,25.6272048356107,8.85368402648638,-143.834372268403,30.9054050593183,11.9139429376449
